繁體,簡體,拼音,詞例,定義,又作
縫,缝,fʊŋ⁴,縫紉，縫補，縫上，裁縫,（動詞）用針線連結
縫,缝,fʊŋ⁴/fʊŋ⁶,縫子，縫隙，裂縫，門縫,（名詞）空隙，細長的口子；接合的地方
鳳,凤,fʊŋ⁶
奉,奉,fʊŋ⁶
俸,俸,fʊŋ⁶/fʊŋ²
解,解,gai²,解釋，解決，解答，解渴，解約，解數，瞭解，不解，瓦解，註解，渾身解數,分開，分裂，說明，打開，消除；手段，本事
蚧,蚧,gai²/gwai²
誡,诫,gai³
介,介,gai³
屆,届,gai³
尬,尬,gai³
界,界,gai³
戒,戒,gai³
芥,芥,gai³
疥,疥,gai³
解,解,gai³,解送，解款，押解，起解,押送
骱,骱,gai³/hai⁶
佳,佳,gai¹
皆,皆,gai¹
街,街,gai¹
偕,偕,gai¹
秸,秸,gai¹
階,阶,gai¹
骼,骼,gak⁸
膈,膈,gak⁸
革,革,gak⁸,革命，革新，革除，革履，革職，皮革，改革，變革，洗心革面,去毛加工的獸皮；改變，變更
格,格,gak⁸
胳,胳,gak⁸
嗝,嗝,gak⁸
鎘,镉,gak⁸
隔,隔,gak⁸
減,减,gam²
監,监,gam³,太監
鑑,鉴,gam³,"","",鑒
尷,尴,gam³/gam¹
監,监,gam¹,監督，監視，監聽，監獄，監牢
緘,缄,gam¹
柬,柬,gan²
揀,拣,gan²
簡,简,gan²
繭,茧,gan²
鐧,锏,gan²
鹼,碱,gan²,"","",礆，硷
筧,笕,gan²
間,间,gan³,間接，間斷，間諜，間隔，間隙，間或，相間，反間，挑撥離間，親密無間,空隙；分隔，隔開；挑撥，分化，使人不和
諫,谏,gan³
澗,涧,gan³
間,間,gan³,時間,（俗）
奸,奸,gan¹
間,间,gan¹,時間，空間，房間，中間，期間，之間，人間，洗手間，剎那間,時空的段落；兩個事物之中；地方，處所
姦,奸,gan¹
艱,艰,gan¹
菅,菅,gan¹
蛺,蛱,gap⁸
鉀,钾,gap⁸
頰,颊,gap⁸
甲,甲,gap⁸
餄,饸,gap⁸
莢,荚,gap⁸
夾,夹,gap⁸
胛,胛,gap⁸
郟,郏,gap⁸
岬,岬,gap⁸
袷,袷,gap⁸
嗑,嗑,gap⁸,嗑兒，嗑牙，嘮嗑，閒嗑,（方言）話
筴,䇲,gap⁸
梜,𬂩,gap⁸
軋,轧,gat⁸,軋賬，軋朋友，人軋人,（方言）擠，結交，核對
戛,戛,gat⁸/at⁸
皎,皎,gau²
佼,佼,gau²
鉸,铰,gau²,鉸孔，鉸開，鉸開，鉸接,（動詞）用剪刀剪或切削
絞,绞,gau²
攪,搅,gau²
姣,姣,gau²
狡,狡,gau²
餃,饺,gau²
搞,搞,gau²
較,较,gau³
鉸,铰,gau³,鉸刀，鉸鏈,（名詞）剪刀；合頁
窖,窖,gau³
覺,觉,gau³,睡覺，午覺,（名詞）指睡眠
教,教,gau³,"","",敎
校,校,gau³,校對，校正，校改，校訂，校官，校勘，校稿，校樣，將校，上校，中校，少校,糾正，訂正，改正；一種軍銜
滘,滘,gau³
酵,酵,gau³/hau¹
膠,胶,gau¹
茭,茭,gau¹
郊,郊,gau¹
蛟,蛟,gau¹
交,交,gau¹
跤,跤,gau¹
鮫,鲛,gau¹
賈,贾,ga²,"",（姓）
架,架,ga²,架子，書架，衣架，骨架,用做支承的東西
尕,尕,ga²
假,假,ga²,假設，虛假，造假,（形容詞）
斝,斝,ga²
檟,槚,ga²
瘕,瘕,ga²/ga¹/ga³
駕,驾,ga³
嫁,嫁,ga³
稼,稼,ga³
假,假,ga³,假期，放假，度假,（名詞）
咖,咖,ga³
價,价,ga³
架,架,ga³,架橋，打架，吵架，招架，綁架,支承；毆打，爭吵；抵擋；（量詞）指有架的東西
加,加,ga¹
珈,珈,ga¹
迦,迦,ga¹
家,家,ga¹
枷,枷,ga¹
袈,袈,ga¹
伽,伽,ga¹,瑜伽，伽利略，伽馬射線,（音譯用字）
傢,家,ga¹
嘉,嘉,ga¹
痂,痂,ga¹
鎵,镓,ga¹
噶,噶,ga¹
豭,豭,ga¹
茄,茄,ga¹,雪茄,（音譯用字）
葭,葭,ga¹
跏,跏,ga¹
㹢,㹢,ga¹
尜,尜,ga¹/gat⁸
筻,筻,gaŋ³
耕,耕,gaŋ¹
更,更,gaŋ¹,打更，三更半夜，更深人靜,（口語）一夜的五分之一的時間
紀,纪,gei²,紀實，世紀，紀錄片
幾,几,gei²,幾何，幾個，幾點,表示二到九之間不確定的數目
己,己,gei²
杞,杞,gei²
麂,麂,gei²
蟣,虮,gei²
覬,觊,gei³
紀,纪,gei³,紀念,（又音）
寄,寄,gei³
既,既,gei³
記,记,gei³
飢,饥,gei¹,"","",饑
基,基,gei¹
乩,乩,gei¹
箕,箕,gei¹
奇,奇,gei¹,奇數，奇偶，有奇,單的，單數的
肌,肌,gei¹
畸,畸,gei¹
姬,姬,gei¹
犄,犄,gei¹
磯,矶,gei¹
譏,讥,gei¹
嘰,叽,gei¹
覊,羁,gei¹,"","",羈
几,几,gei¹,茶几，窗明几淨,矮小的桌子
畿,畿,gei¹
璣,玑,gei¹
機,机,gei¹
幾,几,gei¹,幾乎,非常接近
期,期,gei¹,期年，期月,一週年，一整月
妓,妓,gei⁶
芰,芰,gei⁶
技,技,gei⁶
伎,伎,gei⁶
忌,忌,gei⁶
棘,棘,gik⁷
激,激,gik⁷
擊,击,gik⁷
戟,戟,gik⁷
亟,亟,gik⁷
殛,殛,gik⁷
革,革,gik⁷,病革,急，危急
極,极,gik⁹
撿,捡,gim²
瞼,睑,gim²
檢,检,gim²
劍,剑,gim³
兼,兼,gim¹
鶼,鹣,gim¹
搛,搛,gim¹
儉,俭,gim⁶
蹇,蹇,gin²
腱,腱,gin³
建,建,gin³
見,见,gin³
毽,毽,gin³
堅,坚,gin¹
肩,肩,gin¹
犍,犍,gin¹,犍牛,閹割過的公牛
鰹,鲣,gin¹
健,健,gin⁶
件,件,gin⁶
鍵,键,gin⁶
劫,劫,gip⁸,"","",刦，刼，刧
潔,洁,git⁸
結,结,git⁸
拮,拮,git⁸
傑,杰,git⁹
桀,桀,git⁹
偈,偈,git⁹,"",勇武
佶,佶,git⁹/git⁸,佶屈聱牙
矯,矫,giu²
繳,缴,giu²
皦,皦,giu²
叫,叫,giu³
嬌,娇,giu¹
驕,骄,giu¹
澆,浇,giu¹/hiu¹
撬,撬,giu⁶
轎,轿,giu⁶
稿,稿,gou²
槁,槁,gou²
鎬,镐,gou²,鎬頭，鐵鎬,刨土的工具
縞,缟,gou²
杲,杲,gou²
藁,藁,gou²
鋯,锆,gou³
告,告,gou³
郜,郜,gou³
高,高,gou¹
糕,糕,gou¹
膏,膏,gou¹
羔,羔,gou¹
睾,睾,gou¹
皋,皋,gou¹
篙,篙,gou¹
誥,诰,gou⁶
管,管,gun²
館,馆,gun²
莞,莞,gun²,東莞,（地名）
脘,脘,gun²
鸛,鹳,gun³
冠,冠,gun³,冠軍，奪冠，冠以,（動詞）指戴帽子或加上名號，也指競賽中獲得第一名
灌,灌,gun³
盥,盥,gun³
罐,罐,gun³
貫,贯,gun³
觀,观,gun³,道觀，樓觀,道教的寺廟
冠,冠,gun¹,冠冕，桂冠,（名詞）指帽子
官,官,gun¹
棺,棺,gun¹
觀,观,gun¹,觀察，觀摩，觀念，樂觀，參觀，壯觀，奇觀，客觀，靜觀其變，走馬觀花,看，看法，樣子，景象
莞,莞,gun¹,莞草,（姓、植物名）
倌,倌,gun¹
蠱,蛊,gu²
鈷,钴,gu²
牯,牯,gu²
賈,贾,gu²,賈人，商賈,指商人或買賣
古,古,gu²
估,估,gu²
鼓,鼓,gu²
股,股,gu²
詁,诂,gu²
罟,罟,gu²
僱,雇,gu³,"","",雇
顧,顾,gu³
錮,锢,gu³
故,故,gu³
固,固,gu³
姑,姑,gu¹
沽,沽,gu¹
蛄,蛄,gu¹
軲,轱,gu¹
咕,咕,gu¹
孤,孤,gu¹
辜,辜,gu¹
菇,菇,gu¹,"","",菰
觚,觚,gu¹
菰,菰,gu¹,"",茭白
鴣,鸪,gu¹
拐,拐,gwai²
柺,柺,gwai²
蒯,蒯,gwai²
怪,怪,gwai³
乖,乖,gwai¹
摑,掴,gwak⁸
摜,掼,gwan³
慣,惯,gwan³
關,关,gwan¹
鰥,鳏,gwan¹
刮,刮,gwat⁸
颳,刮,gwat⁸
寡,寡,gwa²
呱,呱,gwa²,拉呱兒,（方言）閒談
掛,挂,gwa³
卦,卦,gwa³
褂,褂,gwa³
呱,呱,gwa¹,呱呱叫
瓜,瓜,gwa¹
虢,虢,gwik⁷
晷,晷,gwɐi²
鬼,鬼,gwɐi²
軌,轨,gwɐi²
詭,诡,gwɐi²
簋,簋,gwɐi²
庋,庋,gwɐi²/gei²
癸,癸,gwɐi³
瑰,瑰,gwɐi³,玫瑰
季,季,gwɐi³
桂,桂,gwɐi³
悸,悸,gwɐi³
貴,贵,gwɐi³
炅,炅,gwɐi³,"",（姓）
劌,刿,gwɐi³
龜,龟,gwɐi¹
硅,硅,gwɐi¹
閨,闺,gwɐi¹
歸,归,gwɐi¹
圭,圭,gwɐi¹
瑰,瑰,gwɐi¹,瑰麗
鮭,鲑,gwɐi¹
皈,皈,gwɐi¹
珪,珪,gwɐi¹
櫃,柜,gwɐi⁶
饋,馈,gwɐi⁶
跪,跪,gwɐi⁶
簣,篑,gwɐi⁶
匱,匮,gwɐi⁶
滾,滚,gwɐn²
鯀,鲧,gwɐn²
磙,磙,gwɐn²
棍,棍,gwɐn³
筠,筠,gwɐn¹,"",（地名）
君,君,gwɐn¹
鈞,钧,gwɐn¹
軍,军,gwɐn¹
均,均,gwɐn¹
綸,纶,gwɐn¹,綸巾,青絲帶
鋆,鋆,gwɐn¹,"",（人名用字）
錕,锟,gwɐn¹
鯤,鲲,gwɐn¹
莙,莙,gwɐn¹
龜,龟,gwɐn¹,龜裂,皮膚音寒冷乾燥而開裂
皸,皲,gwɐn¹
郡,郡,gwɐn⁶
珺,珺,gwɐn⁶
橘,橘,gwɐt⁷,"","",桔
骨,骨,gwɐt⁷
汩,汩,gwɐt⁷
倔,倔,gwɐt⁹
掘,掘,gwɐt⁹
崛,崛,gwɐt⁹
薨,薨,gwɐŋ¹
肱,肱,gwɐŋ¹
訇,訇,gwɐŋ¹
轟,轰,gwɐŋ¹
郭,郭,gwɔk⁸
膕,腘,gwɔk⁸
國,国,gwɔk⁸
幗,帼,gwɔk⁸
槨,椁,gwɔk⁸
蟈,蝈,gwɔk⁸
廓,廓,gwɔk⁸/kwɔk⁸
裹,裹,gwɔ²
果,果,gwɔ²,"","",菓
過,过,gwɔ³
戈,戈,gwɔ¹
廣,广,gwɔŋ²
誑,诳,gwɔŋ²
獷,犷,gwɔŋ²/kwɔŋ³
桄,桄,gwɔŋ³,桄子，線桄兒,指桄子，一種繞線器具
胱,胱,gwɔŋ¹
光,光,gwɔŋ¹
桄,桄,gwɔŋ¹,桄榔,一種常綠喬木
咣,咣,gwɔŋ¹
炯,炯,gwɪŋ²
迥,迥,gwɪŋ²
炅,炅,gwɪŋ²,"",日光，光明，明亮，熱
囧,囧,gwɪŋ²
卷,卷,gyn²
捲,卷,gyn²
絹,绢,gyn³
券,券,gyn³,獎券，贈券,（俗）
眷,眷,gyn³
鄄,鄄,gyn³
捐,捐,gyn¹
鵑,鹃,gyn¹
娟,娟,gyn¹
涓,涓,gyn¹
蠲,蠲,gyn¹
倦,倦,gyn⁶
圈,圈,gyn⁶,豬圈，羊圈，牛圈,養豬羊等牲畜的柵欄
腳,脚,gœk⁸
舉,举,gœy²
矩,矩,gœy²
櫸,榉,gœy²
蒟,蒟,gœy²
齲,龋,gœy²
莒,莒,gœy²
枸,枸,gœy²,枸櫞,一種植物
踞,踞,gœy³
據,据,gœy³
句,句,gœy³
居,居,gœy¹
据,据,gœy¹
車,车,gœy¹,車馬炮，丟卒保車,象棋棋子的一種
車,车,gœy¹,車騎，車駕，車笠，車僕，車馬，車服，車徒，車轍，車師，車右，輔車，車同軌，車在馬前，車怠馬煩，車殆馬煩，車水馬龍，車笠之盟，車載斗量，車馬喧闐，車馬殷闐，車騎將軍，前車之鑑，輔車相依，輔車脣齒，輕車熟路，杯水車薪，學富五車，安步當車，老牛破車，螳臂當車，閉門造車,（用於古漢語）
琚,琚,gœy¹
裾,裾,gœy¹
詎,讵,gœy⁶
懼,惧,gœy⁶
炬,炬,gœy⁶
鉅,巨,gœy⁶
遽,遽,gœy⁶
巨,巨,gœy⁶
具,具,gœy⁶
颶,飓,gœy⁶
苣,苣,gœy⁶
秬,秬,gœy⁶
鋸,锯,gœ³/gœy³
僵,僵,gœŋ¹
羌,羌,gœŋ¹
殭,僵,gœŋ¹
蜣,蜣,gœŋ¹
薑,姜,gœŋ¹
韁,缰,gœŋ¹
疆,疆,gœŋ¹
姜,姜,gœŋ¹
強,强,gœŋ⁶,強嘴，倔強,執拗，固執，不屈服，不聽勸，強硬不屈,犟
糨,糨,gœŋ⁶
計,计,gɐi³
髻,髻,gɐi³
薊,蓟,gɐi³
繼,继,gɐi³
炔,炔,gɐi³,"",（姓）
雞,鸡,gɐi¹,"","",鷄
笄,笄,gɐi¹
偈,偈,gɐi⁶,偈語，偈子，偈頌，佛偈,佛經中的唱詞
感,感,gɐm²
敢,敢,gɐm²
橄,橄,gɐm²
錦,锦,gɐm²
禁,禁,gɐm³,禁止，禁忌，嚴禁,不准，不許
贛,赣,gɐm³
淦,淦,gɐm³
噤,噤,gɐm³
金,金,gɐm¹
柑,柑,gɐm¹
今,今,gɐm¹
甘,甘,gɐm¹
苷,苷,gɐm¹
禁,禁,gɐm¹,不禁，禁不起，情不自禁,承受，忍住，忍耐
泔,泔,gɐm¹
緊,紧,gɐn²
堇,堇,gɐn²
謹,谨,gɐn²
僅,仅,gɐn²
饉,馑,gɐn²
瑾,瑾,gɐn²
殣,殣,gɐn²/gɐn⁶
靳,靳,gɐn³
艮,艮,gɐn³
筋,筋,gɐn¹,"","",觔
跟,跟,gɐn¹
根,根,gɐn¹
巾,巾,gɐn¹
斤,斤,gɐn¹
哏,哏,gɐn¹
近,近,gɐn⁶
覲,觐,gɐn⁶/gɐn²/gɐn³
急,急,gɐp⁷
鴿,鸽,gɐp⁸
蛤,蛤,gɐp⁸,蛤蜊，蛤蚧
蓋,盖,gɐp⁸,"",（姓）
吉,吉,gɐt⁷
訖,讫,gɐt⁷
紇,纥,gɐt⁷,紇繨,紗線、織物等打成的結
桔,桔,gɐt⁷
佶,佶,gɐt⁷,佶倬,健壯
嘎,嘎,gɐt⁸
疙,疙,gɐt⁹
韭,韭,gɐu²
枸,枸,gɐu²,枸杞
苟,苟,gɐu²
狗,狗,gɐu²
久,久,gɐu²
九,九,gɐu²
玖,玖,gɐu²
灸,灸,gɐu³
夠,够,gɐu³
咎,咎,gɐu³
柩,柩,gɐu³
究,究,gɐu³
疚,疚,gɐu³
救,救,gɐu³
詬,诟,gɐu³
垢,垢,gɐu³
廄,厩,gɐu³
彀,彀,gɐu³
龜,龟,gɐu¹,龜茲,（古）國名
鬮,阄,gɐu¹/kɐu¹
鳩,鸠,gɐu¹/kɐu¹
篝,篝,gɐu¹/kɐu¹
舊,旧,gɐu⁶
梗,梗,gɐŋ²
耿,耿,gɐŋ²
亙,亘,gɐŋ²
埂,埂,gɐŋ²
哽,哽,gɐŋ²
綆,绠,gɐŋ²
鯁,鲠,gɐŋ²/kɐŋ²
更,更,gɐŋ³,更好，更加，更快，更多，更上一層樓,再，又，越發
庚,庚,gɐŋ¹
更,更,gɐŋ¹,更改，更換，更衣，更動，更新，更正，變更，打更，更迭，更生，更定,改變；經歷；一夜的五分之一的時間
羹,羹,gɐŋ¹
粳,粳,gɐŋ¹
賡,赓,gɐŋ¹
鶊,鹒,gɐŋ¹
改,改,gɔi²
蓋,盖,gɔi³,蓋子，鋪蓋，瓶蓋，膝蓋，鍋蓋，杯蓋,（名詞）
該,该,gɔi¹
賅,赅,gɔi¹
荄,荄,gɔi¹
垓,垓,gɔi¹
咯,咯,gɔk⁷,咯噔，咯吱，咯咯，咯咯笑,（象聲詞）形容笑聲
各,各,gɔk⁸
角,角,gɔk⁸
擱,搁,gɔk⁸
閣,阁,gɔk⁸
覺,觉,gɔk⁸,覺得，感覺,（動詞）指感想、發覺
桷,桷,gɔk⁸
珏,珏,gɔk⁸
袼,袼,gɔk⁸
硌,硌,gɔk⁸/kak⁸,硌腳，硌牙,（動詞）碰到堅硬的東西而覺得不舒服
擀,擀,gɔn²
趕,赶,gɔn²
稈,秆,gɔn²
幹,干,gɔn³,幹部，樹幹
干,干,gɔn¹,干涉，干擾，干係
乾,干,gɔn¹,乾淨，擦乾
杆,杆,gɔn¹
桿,杆,gɔn¹
肝,肝,gɔn¹
竿,竿,gɔn¹
酐,酐,gɔn¹
割,割,gɔt⁸
葛,葛,gɔt⁸
舸,舸,gɔ²/hɔ²
個,个,gɔ³
仡,仡,gɔ¹
哥,哥,gɔ¹
歌,歌,gɔ¹
旮,旮,gɔ¹/gɔk⁸
菏,菏,gɔ¹/hɔ⁴
講,讲,gɔŋ²
港,港,gɔŋ²
絳,绛,gɔŋ³
鋼,钢,gɔŋ³
降,降,gɔŋ³,降落，降價，下降
槓,杠,gɔŋ³
缸,缸,gɔŋ¹
罡,罡,gɔŋ¹
肛,肛,gɔŋ¹
江,江,gɔŋ¹
綱,纲,gɔŋ¹
岡,冈,gɔŋ¹
崗,岗,gɔŋ¹
剛,刚,gɔŋ¹
茳,茳,gɔŋ¹
豇,豇,gɔŋ¹
頸,颈,gɛŋ²
鏡,镜,gɛŋ³
驚,惊,gɛŋ¹,"",（語音）
麖,麖,gɛŋ¹/gɪŋ¹
景,景,gɪŋ²
境,境,gɪŋ²
警,警,gɪŋ²
竟,竟,gɪŋ²
儆,儆,gɪŋ²
憬,憬,gɪŋ²
璟,璟,gɪŋ²
徑,径,gɪŋ³
敬,敬,gɪŋ³
勁,劲,gɪŋ³,使勁，差勁，費勁，不對勁,力氣，效力，興趣
逕,径,gɪŋ³,"","",迳
莖,茎,gɪŋ³/hɐŋ⁴/hɐŋ¹
驚,惊,gɪŋ¹
荊,荆,gɪŋ¹
兢,兢,gɪŋ¹
涇,泾,gɪŋ¹
經,经,gɪŋ¹
矜,矜,gɪŋ¹
京,京,gɪŋ¹
競,竞,gɪŋ⁶
勁,劲,gɪŋ⁶,勁敵，強勁,堅強有力
痙,痉,gɪŋ⁶
谷,谷,gʊk⁷
鵠,鹄,gʊk⁷
轂,毂,gʊk⁷
穀,谷,gʊk⁷
掬,掬,gʊk⁷
鞠,鞠,gʊk⁷
梏,梏,gʊk⁷
嚳,嚳,gʊk⁷
菊,菊,gʊk⁷
局,局,gʊk⁹
焗,焗,gʊk⁹
鋦,锔,gʊk⁹
鞏,巩,gʊŋ²
拱,拱,gʊŋ²
珙,珙,gʊŋ²
栱,栱,gʊŋ²
貢,贡,gʊŋ³
供,供,gʊŋ³,供奉，供品，供桌，供佛，供職，供事，上供，擺供,把香燭或祭品設在牌位等處以表示敬奉；從事，擔任
蚣,蚣,gʊŋ¹
恭,恭,gʊŋ¹
供,供,gʊŋ¹,供給，供應，供水，供電，供詞，提供，口供，招供，自供，逼供，錄供,把東西給需要的人使用；向別人提供某種條件；受審的人交代案情
弓,弓,gʊŋ¹
龔,龚,gʊŋ¹
躬,躬,gʊŋ¹
宮,宫,gʊŋ¹
功,功,gʊŋ¹
工,工,gʊŋ¹
攻,攻,gʊŋ¹
公,公,gʊŋ¹
紅,红,gʊŋ¹/hʊŋ⁴,女紅,（舊）指女子所做的紡織、縫紉、刺繡等工作
共,共,gʊŋ⁶
揩,揩,hai¹
嗨,嗨,hai¹
咳,咳,hai¹,"",（歎詞）表示驚訝、惋惜、後悔
孩,孩,hai⁴
諧,谐,hai⁴
骸,骸,hai⁴
鞋,鞋,hai⁴
駭,骇,hai⁵
獬,獬,hai⁵
蟹,蟹,hai⁵
懈,懈,hai⁶
械,械,hai⁶
解,解,hai⁶,解縣,（姓、地名）
瀣,瀣,hai⁶
薤,薤,hai⁶
嗐,嗐,hai⁶
邂,邂,hai⁶/hai⁵
赫,赫,hak⁷
嚇,吓,hak⁸
客,客,hak⁸
喊,喊,ham³
函,函,ham⁴
涵,涵,ham⁴
鹹,咸,ham⁴
咸,咸,ham⁴
銜,衔,ham⁴
啣,啣,ham⁴
檻,槛,ham⁵,檻車，檻阱，檻羊，闌檻，闌檻，獸檻，牛檻,欄杆；囚車；關禽獸的木籠
菡,菡,ham⁵/am⁵
陷,陷,ham⁶
餡,馅,ham⁶
閒,闲,han⁴,"","",閑
癇,痫,han⁴
嫺,娴,han⁴,"","",嫻
限,限,han⁶
呷,呷,hap⁸
嗑,嗑,hap⁸,嗑破，嗑瓜子,咬有殼等的硬東西
掐,掐,hap⁸
匣,匣,hap⁹
柙,柙,hap⁹
篋,箧,hap⁹
狎,狎,hap⁹
峽,峡,hap⁹
狹,狭,hap⁹
硤,硖,hap⁹/gip⁸
俠,侠,hap⁹/hɐp⁹
考,考,hau²,"","",攷
巧,巧,hau²
拷,拷,hau²
栲,栲,hau²
孝,孝,hau³
哮,哮,hau¹
敲,敲,hau¹
烤,烤,hau¹/hau²
校,校,hau⁶,校長，校園，校址，校舍，學校，母校，夜校,教學的地方
効,効,hau⁶
效,效,hau⁶
傚,傚,hau⁶
哈,哈,ha¹
蝦,虾,ha¹
夯,夯,haŋ¹
坑,坑,haŋ¹
行,行,haŋ⁴,"",走（用於口語）
遐,遐,ha⁴
瑕,瑕,ha⁴
蛤,蛤,ha⁴,蛤蟆，癩蛤蟆
霞,霞,ha⁴
夏,夏,ha⁶
下,下,ha⁶
暇,暇,ha⁶
廈,厦,ha⁶,"","",厦
喜,喜,hei²
豈,岂,hei²
起,起,hei²
囍,囍,hei²
憙,憙,hei²
憩,憩,hei³
戲,戏,hei³
器,器,hei³
汽,汽,hei³
棄,弃,hei³
氣,气,hei³
嘿,嘿,hei¹
烯,烯,hei¹
禧,禧,hei¹
熙,熙,hei¹
嬉,嬉,hei¹
曦,曦,hei¹
犧,牺,hei¹
稀,稀,hei¹
羲,羲,hei¹
醯,醯,hei¹
欷,欷,hei¹
希,希,hei¹
嘻,嘻,hei¹
唏,唏,hei¹
欺,欺,hei¹
熹,熹,hei¹
浠,浠,hei¹
娸,娸,hei¹
豨,豨,hei¹
晞,晞,hei¹
險,险,him²
獫,猃,him²
芡,芡,him³
欠,欠,him³
謙,谦,him¹
遣,遣,hin²
顯,显,hin²
衍,衍,hin²,"",（俗）
譴,谴,hin²
蜆,蚬,hin²
繾,缱,hin²
獻,献,hin³
憲,宪,hin³
掀,掀,hin¹
牽,牵,hin¹
軒,轩,hin¹
騫,骞,hin¹
岍,岍,hin¹
脅,胁,hip⁸
歉,歉,hip⁸
協,协,hip⁸
怯,怯,hip⁸
挾,挟,hip⁸/hap⁹
愜,惬,hip⁹
勰,勰,hip⁹
歇,歇,hit⁸
蠍,蝎,hit⁸
曉,晓,hiu²
竅,窍,hiu³/kiu³
僥,侥,hiu¹
鴞,鸮,hiu¹
驍,骁,hiu¹
梟,枭,hiu¹
囂,嚣,hiu¹
橇,橇,hiu¹/tsœy³
好,好,hou²,好處，好聽，好漢，良好,（形容詞）有利的，使人滿意的
犒,犒,hou³
好,好,hou³,好客，好奇，嗜好，癖好,（動詞）喜愛，喜歡
耗,耗,hou³
蒿,蒿,hou¹
薅,薅,hou¹
蠔,蠔,hou⁴
豪,豪,hou⁴
嗥,嗥,hou⁴
壕,壕,hou⁴
毫,毫,hou⁴
嚎,嚎,hou⁴
號,号,hou⁴,號叫，號啕，號哭，呼號,（動詞）高聲叫喊
濠,濠,hou⁴
昊,昊,hou⁶
浩,浩,hou⁶
號,号,hou⁶,號碼，符號，記號,（名詞）標記，名稱
鎬,镐,hou⁶,"",（地名）西周的國都
灝,灏,hou⁶
皓,皓,hou⁶
顥,颢,hou⁶
澔,澔,hou⁶
晧,晧,hou⁶
淏,淏,hou⁶
犬,犬,hyn²
畎,畎,hyn²
勸,劝,hyn³
券,券,hyn³,獎券，贈券
絢,绚,hyn³
綣,绻,hyn³
圈,圈,hyn¹,圈子，圈套，圈點，圈選，圓圈，花圈，繞圈，項圈,環形的東西
萱,萱,hyn¹
喧,喧,hyn¹
暄,暄,hyn¹
壎,埙,hyn¹,"","",塤
禤,禤,hyn¹
禢,禢,hyn¹
煊,煊,hyn¹
嬛,嬛,hyn¹,嬛佞，便嬛,輕巧，輕盈，輕飄的樣子
血,血,hyt⁸
哼,哼,hŋ̩⁶,"",（歎詞）表示不滿，懷疑，輕蔑，威脅，怨恨
詡,诩,hœy²
許,许,hœy²
栩,栩,hœy²
滸,浒,hœy²,滸灣，滸墅關,（地名）
煦,煦,hœy²/hœy³
去,去,hœy³
墟,墟,hœy¹
吁,吁,hœy¹
噓,嘘,hœy¹
虛,虚,hœy¹
歔,歔,hœy¹
盱,盱,hœy¹
靴,靴,hœ¹
享,享,hœŋ²
響,响,hœŋ²
饗,飨,hœŋ²
餉,饷,hœŋ²
晌,晌,hœŋ²
蠁,蠁,hœŋ²
向,向,hœŋ³
嚮,向,hœŋ³
香,香,hœŋ¹
鄉,乡,hœŋ¹
奚,奚,hɐi⁴
兮,兮,hɐi⁴
鼷,鼷,hɐi⁴
蹊,蹊,hɐi⁴,蹊徑，山蹊,小路，路徑
係,系,hɐi⁶
繫,系,hɐi⁶
系,系,hɐi⁶
克,克,hɐk⁷
刻,刻,hɐk⁷
黑,黑,hɐk⁷
氪,氪,hɐk⁷
剋,克,hɐk⁷
可,可,hɐk⁷,可汗
砍,砍,hɐm²
坎,坎,hɐm²
崁,崁,hɐm³
磡,磡,hɐm³
勘,勘,hɐm³,勘探，勘驗，勘測，推勘,細查，審查
瞰,瞰,hɐm³
嵌,嵌,hɐm³/hɐm⁶
勘,勘,hɐm¹,勘誤，勘正，校勘,校對，核定
蚶,蚶,hɐm¹
龕,龛,hɐm¹
戡,戡,hɐm¹
堪,堪,hɐm¹
憨,憨,hɐm¹
坩,坩,hɐm¹
含,含,hɐm⁴
酣,酣,hɐm⁴
晗,晗,hɐm⁴
頷,颔,hɐm⁵
撼,撼,hɐm⁶
憾,憾,hɐm⁶
很,很,hɐn²
狠,狠,hɐn²
懇,恳,hɐn²
墾,垦,hɐn²
痕,痕,hɐn⁴
恨,恨,hɐn⁶
恰,恰,hɐp⁷
洽,洽,hɐp⁷
合,合,hɐp⁹,"","",閤
磕,磕,hɐp⁹
盒,盒,hɐp⁹
瞌,瞌,hɐp⁹
闔,阖,hɐp⁹
頜,颌,hɐp⁹
嗑,嗑,hɐp⁹,噬嗑,六十四卦之一
郃,郃,hɐp⁹/gɐp⁸
乞,乞,hɐt⁷
瞎,瞎,hɐt⁹
轄,辖,hɐt⁹
閡,阂,hɐt⁹
劾,劾,hɐt⁹
檄,檄,hɐt⁹
齕,龁,hɐt⁹
紇,纥,hɐt⁹,回紇,古代少數民族名稱
搳,搳,hɐt⁹
核,核,hɐt⁹,核子，核心，核對，核定，核實，核彈，核仁，核戰，核桃，核武，核爆，核算，核能，核計，核辦，核電，核准，考核，評核，審核，地核，果核，查核，稽核，結核，綜核，核潛艇，核試驗，核分裂，核反應，細胞核，肺結核，原子核,對照，審定，考查，審查；物體的中心部分；原子核的簡稱
覈,核,hɐt⁹
葜,葜,hɐt⁹
口,口,hɐu²
吼,吼,hɐu³
齁,齁,hɐu¹
猴,猴,hɐu⁴
侯,侯,hɐu⁴
喉,喉,hɐu⁴
篌,篌,hɐu⁴
瘊,瘊,hɐu⁴
厚,厚,hɐu⁵
後,后,hɐu⁶
逅,逅,hɐu⁶
后,后,hɐu⁶
鱟,鲎,hɐu⁶
候,候,hɐu⁶
