隘	隘	aai³			
竟	竟	ging²			
儆	儆	ging²			
憬	憬	ging²			
璟	璟	ging²			
徑	径	ging³			
敬	敬	ging³			
勁	劲	ging³	使勁，差勁，費勁，不對勁	力氣，效力，興趣	
逕	径	ging³			迳
莖	茎	ging³/hang⁴/hang¹			
驚	惊	ging¹			
荊	荆	ging¹			
兢	兢	ging¹			
涇	泾	ging¹			
經	经	ging¹			
矜	矜	ging¹			
京	京	ging¹			
競	竞	ging⁶			
勁	劲	ging⁶	勁敵，強勁	堅強有力	
痙	痉	ging⁶			
蹇	蹇	gin²			
腱	腱	gin³			
建	建	gin³			
見	见	gin³			
毽	毽	gin³			
堅	坚	gin¹			
肩	肩	gin¹			
犍	犍	gin¹	犍牛	閹割過的公牛	
鰹	鲣	gin¹			
健	健	gin⁶			
件	件	gin⁶			
鍵	键	gin⁶			
劫	劫	gip³			刦，刼，刧
潔	洁	git³			
結	结	git³			
拮	拮	git³			
傑	杰	git⁶			
桀	桀	git⁶			
偈	偈	git⁶		勇武	
佶	佶	git⁶/git³	佶屈聱牙		
矯	矫	giu²			
繳	缴	giu²			
皦	皦	giu²			
叫	叫	giu³			
嬌	娇	giu¹			
驕	骄	giu¹			
澆	浇	giu¹/hiu¹			
撬	撬	giu⁶			
轎	轿	giu⁶			
舸	舸	goh²/hoh²			
個	个	goh³			
仡	仡	goh¹			
哥	哥	goh¹			
歌	歌	goh¹			
旮	旮	goh¹/gok³			
菏	菏	goh¹/hoh⁴			
改	改	goi²			
蓋	盖	goi³	蓋子，鋪蓋，瓶蓋，膝蓋，鍋蓋，杯蓋	（名詞）	
該	该	goi¹			
賅	赅	goi¹			
荄	荄	goi¹			
垓	垓	goi¹			
各	各	gok³			
角	角	gok³			
擱	搁	gok³			
閣	阁	gok³			
覺	觉	gok³	覺得，感覺	（動詞）指感想、發覺	
桷	桷	gok³			
珏	珏	gok³			
袼	袼	gok³			
硌	硌	gok³/kaak³	硌腳，硌牙	（動詞）碰到堅硬的東西而覺得不舒服	
咯	咯	gok¹	咯噔，咯吱，咯咯，咯咯笑	（象聲詞）形容笑聲	
講	讲	gong²			
港	港	gong²			
絳	绛	gong³			
鋼	钢	gong³			
降	降	gong³	降落，降價，下降		
槓	杠	gong³			
缸	缸	gong¹			
罡	罡	gong¹			
肛	肛	gong¹			
江	江	gong¹			
綱	纲	gong¹			
岡	冈	gong¹			
崗	岗	gong¹			
剛	刚	gong¹			
茳	茳	gong¹			
豇	豇	gong¹			
擀	擀	gon²			
趕	赶	gon²			
桿	杆	gon²			
稈	秆	gon²			
幹	干	gon³	幹部，樹幹		
乾	干	gon¹	乾淨，擦乾		
杆	杆	gon¹			
肝	肝	gon¹			
竿	竿	gon¹			
干	干	gon¹	干涉，干擾，干係		
酐	酐	gon¹			
管	管	goon²			
館	馆	goon²			
莞	莞	goon²	東莞	（地名）	
脘	脘	goon²			
鸛	鹳	goon³			
冠	冠	goon³	冠軍，奪冠，冠以	（動詞）指戴帽子或加上名號，也指競賽中獲得第一名	
灌	灌	goon³			
盥	盥	goon³			
罐	罐	goon³			
貫	贯	goon³			
觀	观	goon³	道觀，樓觀	道教的寺廟	
冠	冠	goon¹	冠冕，桂冠	（名詞）指帽子	
官	官	goon¹			
棺	棺	goon¹			
觀	观	goon¹	觀察，觀摩，觀念，樂觀，參觀，壯觀，奇觀，客觀，靜觀其變，走馬觀花	看，看法，樣子，景象	
莞	莞	goon¹	莞草	（姓、植物名）	
倌	倌	goon¹			
蠱	蛊	goo²			
鈷	钴	goo²			
牯	牯	goo²			
賈	贾	goo²	賈人，商賈	指商人或買賣	
古	古	goo²			
估	估	goo²			
鼓	鼓	goo²			
股	股	goo²			
詁	诂	goo²			
罟	罟	goo²			
僱	雇	goo³			雇
顧	顾	goo³			
錮	锢	goo³			
故	故	goo³			
固	固	goo³			
姑	姑	goo¹			
沽	沽	goo¹			
蛄	蛄	goo¹			
軲	轱	goo¹			
咕	咕	goo¹			
孤	孤	goo¹			
辜	辜	goo¹			
菇	菇	goo¹			菰
觚	觚	goo¹			
菰	菰	goo¹		茭白	
鴣	鸪	goo¹			
割	割	got³			
葛	葛	got³			
稿	稿	go²			
槁	槁	go²			
鎬	镐	go²	鎬頭，鐵鎬	刨土的工具	
縞	缟	go²			
杲	杲	go²			
藁	藁	go²			
鋯	锆	go³			
告	告	go³			
郜	郜	go³			
高	高	go¹			
糕	糕	go¹			
膏	膏	go¹			
羔	羔	go¹			
睾	睾	go¹			
皋	皋	go¹			
篙	篙	go¹			
誥	诰	go⁶			
卷	卷	guen²			
捲	卷	guen²			
絹	绢	guen³			
券	券	guen³	獎券，贈券	（俗）	
眷	眷	guen³			
鄄	鄄	guen³			
捐	捐	guen¹			
鵑	鹃	guen¹			
娟	娟	guen¹			
涓	涓	guen¹			
蠲	蠲	guen¹			
倦	倦	guen⁶			
圈	圈	guen⁶	豬圈，羊圈，牛圈	養豬羊等牲畜的柵欄	
舉	举	gui²			
矩	矩	gui²			
櫸	榉	gui²			
蒟	蒟	gui²			
齲	龋	gui²			
莒	莒	gui²			
枸	枸	gui²	枸櫞	一種植物	
踞	踞	gui³			
據	据	gui³			
句	句	gui³			
居	居	gui¹			
据	据	gui¹			
車	车	gui¹	車馬炮，丟卒保車	象棋棋子的一種	
車	车	gui¹	車騎，車駕，車笠，車僕，車馬，車服，車徒，車轍，車師，車右，輔車，車同軌，車在馬前，車怠馬煩，車殆馬煩，車水馬龍，車笠之盟，車載斗量，車馬喧闐，車馬殷闐，車騎將軍，前車之鑑，輔車相依，輔車脣齒，輕車熟路，杯水車薪，學富五車，安步當車，老牛破車，螳臂當車，閉門造車	（用於古漢語）	
琚	琚	gui¹			
裾	裾	gui¹			
詎	讵	gui⁶			
懼	惧	gui⁶			
炬	炬	gui⁶			
鉅	巨	gui⁶			
遽	遽	gui⁶			
巨	巨	gui⁶			
具	具	gui⁶			
颶	飓	gui⁶			
苣	苣	gui⁶			
秬	秬	gui⁶			
谷	谷	guk¹			
鵠	鹄	guk¹			
轂	毂	guk¹			
穀	谷	guk¹			
掬	掬	guk¹			
鞠	鞠	guk¹			
梏	梏	guk¹			
嚳	嚳	guk¹			
菊	菊	guk¹			
局	局	guk⁶			
焗	焗	guk⁶			
鋦	锔	guk⁶			
鞏	巩	gung²			
拱	拱	gung²			
珙	珙	gung²			
栱	栱	gung²			
貢	贡	gung³			
供	供	gung³	供奉，供品，供桌，供佛，供職，供事，上供，擺供	把香燭或祭品設在牌位等處以表示敬奉；從事，擔任	
蚣	蚣	gung¹			
恭	恭	gung¹			
供	供	gung¹	供給，供應，供水，供電，供詞，提供，口供，招供，自供，逼供，錄供	把東西給需要的人使用；向別人提供某種條件；受審的人交代案情	
弓	弓	gung¹			
龔	龚	gung¹			
躬	躬	gung¹			
宮	宫	gung¹			
功	功	gung¹			
工	工	gung¹			
攻	攻	gung¹			
公	公	gung¹			
紅	红	gung¹/hung⁴	女紅	（舊）指女子所做的紡織、縫紉、刺繡等工作	
共	共	gung⁶			
拐	拐	gwaai²			
柺	柺	gwaai²			
蒯	蒯	gwaai²			
怪	怪	gwaai³			
乖	乖	gwaai¹			
摑	掴	gwaak³			
摜	掼	gwaan³			
慣	惯	gwaan³			
關	关	gwaan¹			
鰥	鳏	gwaan¹			
刮	刮	gwaat³			
颳	刮	gwaat³			
晷	晷	gwai²			
鬼	鬼	gwai²			
軌	轨	gwai²			
詭	诡	gwai²			
簋	簋	gwai²			
癸	癸	gwai³			
瑰	瑰	gwai³	玫瑰		
季	季	gwai³			
桂	桂	gwai³			
悸	悸	gwai³			
貴	贵	gwai³			
炅	炅	gwai³		（姓）	
劌	刿	gwai³			
龜	龟	gwai¹			
硅	硅	gwai¹			
閨	闺	gwai¹			
歸	归	gwai¹			
圭	圭	gwai¹			
瑰	瑰	gwai¹	瑰麗		
鮭	鲑	gwai¹			
皈	皈	gwai¹			
珪	珪	gwai¹			
櫃	柜	gwai⁶			
饋	馈	gwai⁶			
跪	跪	gwai⁶			
簣	篑	gwai⁶			
匱	匮	gwai⁶			
薨	薨	gwang¹			
肱	肱	gwang¹			
訇	訇	gwang¹			
轟	轰	gwang¹			
滾	滚	gwan²			
鯀	鲧	gwan²			
磙	磙	gwan²			
棍	棍	gwan³			
筠	筠	gwan¹		（地名）	
君	君	gwan¹			
鈞	钧	gwan¹			
軍	军	gwan¹			
均	均	gwan¹			
綸	纶	gwan¹	綸巾	青絲帶	
鋆	鋆	gwan¹		（人名用字）	
錕	锟	gwan¹			
鯤	鲲	gwan¹			
莙	莙	gwan¹			
龜	龟	gwan¹	龜裂	皮膚音寒冷乾燥而開裂	
皸	皲	gwan¹			
郡	郡	gwan⁶			
珺	珺	gwan⁶			
橘	橘	gwat¹			桔
骨	骨	gwat¹			
汩	汩	gwat¹			
倔	倔	gwat⁶			
掘	掘	gwat⁶			
崛	崛	gwat⁶			
寡	寡	gwa²			
呱	呱	gwa²	拉呱兒	（方言）閒談	
掛	挂	gwa³			
卦	卦	gwa³			
褂	褂	gwa³			
呱	呱	gwa¹	呱呱叫		
瓜	瓜	gwa¹			
虢	虢	gwik¹			
炯	炯	gwing²			
迥	迥	gwing²			
炅	炅	gwing²		日光，光明，明亮，熱	
囧	囧	gwing²			
裹	裹	gwoh²			
果	果	gwoh²			菓
過	过	gwoh³			
戈	戈	gwoh¹			
郭	郭	gwok³			
膕	腘	gwok³			
國	国	gwok³			
幗	帼	gwok³			
槨	椁	gwok³			
蟈	蝈	gwok³			
廓	廓	gwok³/kwok³			
獷	犷	gwong²			
廣	广	gwong²			
誑	诳	gwong²			
桄	桄	gwong³	桄子，線桄兒	指桄子，一種繞線器具	
胱	胱	gwong¹			
光	光	gwong¹			
桄	桄	gwong¹	桄榔	一種常綠喬木	
揩	揩	haai¹			
嗨	嗨	haai¹			
咳	咳	haai¹		（歎詞）表示驚訝、惋惜、後悔	
孩	孩	haai⁴			
諧	谐	haai⁴			
骸	骸	haai⁴			
鞋	鞋	haai⁴			
駭	骇	haai⁵			
獬	獬	haai⁵			
蟹	蟹	haai⁵			
懈	懈	haai⁶			
械	械	haai⁶			
解	解	haai⁶	解縣	（姓、地名）	
瀣	瀣	haai⁶			
薤	薤	haai⁶			
嗐	嗐	haai⁶			
邂	邂	haai⁶/haai⁵			
嚇	吓	haak³			
客	客	haak³			
赫	赫	haak¹			
喊	喊	haam³			
函	函	haam⁴			
涵	涵	haam⁴			
鹹	咸	haam⁴			
咸	咸	haam⁴			
銜	衔	haam⁴			
啣	啣	haam⁴			
檻	槛	haam⁵			
菡	菡	haam⁵/aam⁵			
陷	陷	haam⁶			
餡	馅	haam⁶			
夯	夯	haang¹			
坑	坑	haang¹			
行	行	haang⁴		走（用於口語）	
閒	闲	haan⁴			閑
癇	痫	haan⁴			
嫺	娴	haan⁴			嫻
限	限	haan⁶			
呷	呷	haap³			
嗑	嗑	haap³	嗑破，嗑瓜子	咬有殼等的硬東西	
掐	掐	haap³			
匣	匣	haap⁶			
柙	柙	haap⁶			
篋	箧	haap⁶			
狎	狎	haap⁶			
峽	峡	haap⁶			
狹	狭	haap⁶			
硤	硖	haap⁶/gip³			
俠	侠	haap⁶/hap⁶			
考	考	haau²			攷
巧	巧	haau²			
拷	拷	haau²			
栲	栲	haau²			
孝	孝	haau³			
哮	哮	haau¹			
敲	敲	haau¹			
烤	烤	haau¹/haau²			
校	校	haau⁶	校長，校園，校址，校舍，學校，母校，夜校	教學的地方	
効	効	haau⁶			
效	效	haau⁶			
傚	傚	haau⁶			
奚	奚	hai⁴			
兮	兮	hai⁴			
鼷	鼷	hai⁴			
蹊	蹊	hai⁴	蹊徑，山蹊	小路，路徑	
係	系	hai⁶			
繫	系	hai⁶			
系	系	hai⁶			
克	克	hak¹			
刻	刻	hak¹			
黑	黑	hak¹			
氪	氪	hak¹			
剋	克	hak¹			
可	可	hak¹	可汗		
砍	砍	ham²			
坎	坎	ham²			
崁	崁	ham³			
磡	磡	ham³			
勘	勘	ham³	勘探，勘驗，勘測，推勘	細查，審查	
瞰	瞰	ham³			
嵌	嵌	ham³/ham⁶			
勘	勘	ham¹	勘誤，勘正，校勘	校對，核定	
蚶	蚶	ham¹			
龕	龛	ham¹			
戡	戡	ham¹			
堪	堪	ham¹			
憨	憨	ham¹			
坩	坩	ham¹			
含	含	ham⁴			
酣	酣	ham⁴			
晗	晗	ham⁴			
頷	颔	ham⁵			
撼	撼	ham⁶			
憾	憾	ham⁶			
肯	肯	hang²			
啃	啃	hang²			
鏗	铿	hang¹			
哼	哼	hang¹	哼唱，哼歌，哼出來	（動詞）低聲歌唱	
亨	亨	hang¹			
桁	桁	hang⁴			
恆	恒	hang⁴			
衡	衡	hang⁴			
姮	姮	hang⁴			
珩	珩	hang⁴			
行	行	hang⁴	行走，行軍，行李，行銷，行灶，行商，行營，行禮，行文，行裝，行篋，行頭，進行，通行，發行，風行，另行，即行，舉行，實行，日行千里，見機行事	走	
行	行	hang⁴/hong⁴	行輩，排行	兄弟姐妹長幼的次序	
悻	悻	hang⁶			
杏	杏	hang⁶			
幸	幸	hang⁶			
倖	幸	hang⁶			
婞	婞	hang⁶			
行	行	hang⁶	言行，品行，罪行，德行，操行，道行，行將，不行，行了，真行	足以表明品質的舉止行動；可以；能幹；快要；僧道修行的功夫	
很	很	han²			
狠	狠	han²			
懇	恳	han²			
墾	垦	han²			
痕	痕	han⁴			
恨	恨	han⁶			
恰	恰	hap¹			
洽	洽	hap¹			
合	合	hap⁶			閤
磕	磕	hap⁶			
盒	盒	hap⁶			
瞌	瞌	hap⁶			
闔	阖	hap⁶			
頜	颌	hap⁶			
嗑	嗑	hap⁶	噬嗑	六十四卦之一	
郃	郃	hap⁶/gap³			
乞	乞	hat¹			
瞎	瞎	hat⁶			
轄	辖	hat⁶			
閡	阂	hat⁶			
劾	劾	hat⁶			
檄	檄	hat⁶			
齕	龁	hat⁶			
紇	纥	hat⁶	回紇	古代少數民族名稱	
搳	搳	hat⁶			
核	核	hat⁶	核子，核心，核對，核定，核實，核彈，核仁，核戰，核桃，核武，核爆，核算，核能，核計，核辦，核電，核准，考核，評核，審核，地核，果核，查核，稽核，結核，綜核，核潛艇，核試驗，核分裂，核反應，細胞核，肺結核，原子核	對照，審定，考查，審查；物體的中心部分；原子核的簡稱	
覈	核	hat⁶			
葜	葜	hat⁶			
口	口	hau²			
吼	吼	hau³			
齁	齁	hau¹			
猴	猴	hau⁴			
侯	侯	hau⁴			
喉	喉	hau⁴			
篌	篌	hau⁴			
瘊	瘊	hau⁴			
厚	厚	hau⁵			
後	后	hau⁶			
逅	逅	hau⁶			
后	后	hau⁶			
鱟	鲎	hau⁶			
候	候	hau⁶			
堠	堠	hau⁶			
哈	哈	ha¹			
蝦	虾	ha¹			
遐	遐	ha⁴			
瑕	瑕	ha⁴			
蛤	蛤	ha⁴	蛤蟆，癩蛤蟆		
霞	霞	ha⁴			
夏	夏	ha⁶			
下	下	ha⁶			
暇	暇	ha⁶			
廈	厦	ha⁶			厦
喜	喜	hei²			
豈	岂	hei²			
起	起	hei²			
囍	囍	hei²			
憩	憩	hei³			
戲	戏	hei³			
器	器	hei³			
汽	汽	hei³			
棄	弃	hei³			
氣	气	hei³			
嘿	嘿	hei¹			
烯	烯	hei¹			
禧	禧	hei¹			
熙	熙	hei¹			
嬉	嬉	hei¹			
曦	曦	hei¹			
犧	牺	hei¹			
稀	稀	hei¹			
羲	羲	hei¹			
醯	醯	hei¹			
欷	欷	hei¹			
希	希	hei¹			
嘻	嘻	hei¹			
唏	唏	hei¹			
欺	欺	hei¹			
熹	熹	hei¹			
浠	浠	hei¹			
娸	娸	hei¹			
豨	豨	hei¹			
晞	晞	hei¹			
吃	吃	hek³			喫
靴	靴	heuh¹			
享	享	heung²			
響	响	heung²			
饗	飨	heung²			
餉	饷	heung²			
晌	晌	heung²			
蠁	蠁	heung²			
向	向	heung³			
嚮	向	heung³			
香	香	heung¹			
鄉	乡	heung¹			
險	险	him²			
獫	猃	him²			
芡	芡	him³			
欠	欠	him³			
謙	谦	him¹			
磬	磬	hing³			
罄	罄	hing³			
興	兴	hing³	興趣，興致，高興，掃興，雅興，助興，盡興，即興，乘興，敗興，興高采烈	喜愛的情緒	
慶	庆	hing³			
兄	兄	hing¹			
卿	卿	hing¹			
興	兴	hing¹	興建，興奮，興盛，興旺，興隆，興衰，興起，振興，復興，中興，時興，新興	發動，創辦，昌盛，旺盛，流行	
馨	馨	hing¹			
氫	氢	hing¹			
輕	轻	hing¹/heng¹			
脛	胫	hing⁵/ging³			
遣	遣	hin²			
顯	显	hin²			
譴	谴	hin²			
蜆	蚬	hin²			
繾	缱	hin²			
獻	献	hin³			
憲	宪	hin³			
掀	掀	hin¹			
牽	牵	hin¹			
軒	轩	hin¹			
騫	骞	hin¹			
脅	胁	hip³			
歉	歉	hip³			
協	协	hip³			
怯	怯	hip³			
挾	挟	hip³/haap⁶			
愜	惬	hip⁶			
勰	勰	hip⁶			
歇	歇	hit³			
蠍	蝎	hit³			
曉	晓	hiu²			
竅	窍	hiu³/kiu³			
僥	侥	hiu¹			
鴞	鸮	hiu¹			
驍	骁	hiu¹			
梟	枭	hiu¹			
囂	嚣	hiu¹			
橇	橇	hiu¹/chui³			
哼	哼	hng⁶		（歎詞）表示不滿，懷疑，輕蔑，威脅，怨恨	
可	可	hoh²	可以，寧可		
坷	坷	hoh²			
岢	岢	hoh²			
嗬	嗬	hoh²			
苛	苛	hoh¹			
訶	诃	hoh¹			
呵	呵	hoh¹			
何	何	hoh⁴			
河	河	hoh⁴			
荷	荷	hoh⁴	荷花，荷塘，荷包，荷蘭，薄荷，荷爾蒙	蓮花	
賀	贺	hoh⁶			
荷	荷	hoh⁶	負荷，荷載，荷重，電荷，感荷	扛，背，負擔，承受	
愷	恺	hoi²			
海	海	hoi²			
鎧	铠	hoi²			
凱	凯	hoi²			
闓	闿	hoi²			
剴	剀	hoi²			
塏	垲	hoi²			
開	开	hoi¹			
咍	咍	hoi¹			
鐦	锎	hoi¹			
頦	颏	hoi⁴/hoi⁵			
害	害	hoi⁶			
亥	亥	hoi⁶			
氦	氦	hoi⁶			
殼	壳	hok³			
貉	貉	hok⁶			
鶴	鹤	hok⁶			
學	学	hok⁶			
慷	慷	hong²/kong²			
匡	匡	hong¹			
康	康	hong¹			
糠	糠	hong¹			
腔	腔	hong¹			
劻	劻	hong¹			
誆	诓	hong¹			
眶	眶	hong¹/kwaang¹			
筐	筐	hong¹/kwaang¹			
行	行	hong⁴	行列，行家，行市，同行，外行，車行，單行，雙行，幾行字	行列，排；職業	
航	航	hong⁴			
杭	杭	hong⁴			
降	降	hong⁴	降服，投降	向敵人屈服	
吭	吭	hong⁴			
沆	沆	hong⁴			
鴴	鸻	hong⁴/hang⁴			
項	项	hong⁶			
行	行	hong⁶	行行，樹行子	剛強的樣子；排成行列的樹木	
巷	巷	hong⁶/hong²			
侃	侃	hon²			
罕	罕	hon²			
刊	刊	hon²/hon¹			
看	看	hon³	看見，看書，看病，看望，看戲，看脈，察看，觀看，好看，看電影，看得起，試試看，看風使舵，刮目相看，另眼相看	瞧，注視，觀察，拜訪，探望	
漢	汉	hon³			
看	看	hon¹	看門，看家，看羊，看管，看守，看護，看押，看待	守護，監視，監管，照管，照顧，放牧	
頇	顸	hon¹			
韓	韩	hon⁴			
邯	邯	hon⁴			
鼾	鼾	hon⁴			
寒	寒	hon⁴			
汗	汗	hon⁴	可汗		
旱	旱	hon⁵			
悍	悍	hon⁶			
瀚	瀚	hon⁶			
捍	捍	hon⁶			
汗	汗	hon⁶	汗水，流汗		
翰	翰	hon⁶			
焊	焊	hon⁶			
渴	渴	hot³			
喝	喝	hot³			
鞨	鞨	hot³			
褐	褐	hot³			
好	好	ho²	好處，好聽，好漢，良好	（形容詞）有利的，使人滿意的	
犒	犒	ho³			
好	好	ho³	好客，好奇，嗜好，癖好	（動詞）喜愛，喜歡	
耗	耗	ho³			
蒿	蒿	ho¹			
薅	薅	ho¹			
蠔	蠔	ho⁴			
豪	豪	ho⁴			
嗥	嗥	ho⁴			
壕	壕	ho⁴			
毫	毫	ho⁴			
嚎	嚎	ho⁴			
號	号	ho⁴	號叫，號啕，號哭，呼號	（動詞）高聲叫喊	
濠	濠	ho⁴			
昊	昊	ho⁶			
浩	浩	ho⁶			
號	号	ho⁶	號碼，符號，記號	（名詞）標記，名稱	
鎬	镐	ho⁶		（地名）西周的國都	
灝	灏	ho⁶			
皓	皓	ho⁶			
顥	颢	ho⁶			
澔	澔	ho⁶			
晧	晧	ho⁶			
犬	犬	huen²			
畎	畎	huen²			
勸	劝	huen³			
券	券	huen³	獎券，贈券		
絢	绚	huen³			
綣	绻	huen³			
圈	圈	huen¹	圈子，圈套，圈點，圈選，圓圈，花圈，繞圈，項圈	環形的東西	
萱	萱	huen¹			
喧	喧	huen¹			
暄	暄	huen¹			
壎	埙	huen¹			塤
禤	禤	huen¹			
禢	禢	huen¹			
煊	煊	huen¹			
血	血	huet³			
詡	诩	hui²			
許	许	hui²			
栩	栩	hui²			
煦	煦	hui²/hui³			
去	去	hui³			
墟	墟	hui¹			
吁	吁	hui¹			
噓	嘘	hui¹			
虛	虚	hui¹			
歔	歔	hui¹			
盱	盱	hui¹			
哭	哭	huk¹			
酷	酷	huk⁶			
槲	槲	huk⁶			
恐	恐	hung²			
孔	孔	hung²			
控	控	hung³			
哄	哄	hung³	哄騙，哄人，哄孩子	逗弄，用假話騙人	
烘	烘	hung³/hung¹			
鬨	哄	hung³/hung⁶	鬨鬧，起鬨，一鬨而散	喧鬧，笑鬧	
匈	匈	hung¹			
凶	凶	hung¹			
箜	箜	hung¹			
崆	崆	hung¹			
胸	胸	hung¹			
洶	汹	hung¹			
兇	凶	hung¹			凶
空	空	hung¹			
哄	哄	hung¹	哄傳，哄動，哄然，哄勸，亂哄哄，哄堂大笑，哄抬物價	許多人同時發出喧譁聲或大笑聲	
虹	虹	hung⁴			
熊	熊	hung⁴			
洪	洪	hung⁴			
雄	雄	hung⁴			
鴻	鸿	hung⁴			
紅	红	hung⁴	紅色，臉紅	像鮮血一樣的顏色	
蕻	蕻	hung⁴	雪裡蕻	一種花	
訌	讧	hung⁴/hung³			
蕻	蕻	hung⁶	菜蕻	茂盛的樣子	
汞	汞	hung⁶/hung³			銾
㴓	㴓	jaai²			
債	债	jaai³			
齋	斋	jaai¹			
齎	赍	jaai¹			
寨	寨	jaai⁶			
眥	眦	jaai⁶			
窄	窄	jaak³			
嘖	啧	jaak³			
責	责	jaak³			
咋	咋	jaak³	咋舌	咬住	
賾	赜	jaak³/jaak⁶			
宅	宅	jaak⁶			
擇	择	jaak⁶			
澤	泽	jaak⁶			
摘	摘	jaak⁶			
躑	踯	jaak⁶			
擲	掷	jaak⁶			
謫	谪	jaak⁶			
磔	磔	jaak⁶			
翟	翟	jaak⁶		（姓）	
斬	斩	jaam²			
嶄	崭	jaam²			
湛	湛	jaam³			
蘸	蘸	jaam³			
簪	簪	jaam¹			簮
站	站	jaam⁶			
鏨	錾	jaam⁶			
暫	暂	jaam⁶			
諍	诤	jaang³/jang³			
掙	挣	jaang¹		（口語）	
睜	睁	jaang¹		（口語）	
爭	争	jaang¹		（口語）	
猙	狰	jaang¹		（口語）	
琤	琤	jaang¹		（口語）	
掙	挣	jaang⁶	掙錢，掙脫，掙開，掙命，掙揣	通過勞動獲取報酬；儘力擺脫	
趲	趱	jaan²			
盞	盏	jaan²			
攢	攒	jaan²			
讚	赞	jaan³			
贊	赞	jaan³			
瓚	瓒	jaan³			
棧	栈	jaan⁶			
綻	绽	jaan⁶			
撰	撰	jaan⁶			
賺	赚	jaan⁶			
饌	馔	jaan⁶			
攥	攥	jaan⁶			
眨	眨	jaap³			
咂	咂	jaap³			
匝	匝	jaap³			
砸	砸	jaap³			
閘	闸	jaap⁶			
集	集	jaap⁶			
習	习	jaap⁶			
雜	杂	jaap⁶			
什	什	jaap⁶	什錦，什物，家什	各種各樣，雜樣	
襲	袭	jaap⁶			
隰	隰	jaap⁶			
札	札	jaat³			
扎	扎	jaat³			
軋	轧	jaat³	軋鋼，軋機，熱軋，冷軋	壓制鋼材的過程	
紮	扎	jaat³			紥
鍘	铡	jaat³			
拶	拶	jaat³			
爪	爪	jaau²			
找	找	jaau²			
罩	罩	jaau³			
笊	笊	jaau³			
嘲	嘲	jaau¹			
仔	仔	jai²	牛仔褲	小孩，男孩，幼小動物	
濟	济	jai²	濟南，濟寧，濟源，濟水，濟濟一堂	（地名）	
祭	祭	jai³			
製	制	jai³			
霽	霁	jai³			
濟	济	jai³	濟貧，經濟，賑濟，接濟，無濟於事，同舟共濟	過河，救助，有益	
制	制	jai³			
際	际	jai³			
掣	掣	jai³	掣肘，牽掣，風馳電掣	拽，拉；迅疾，閃過	
穄	穄	jai³			
躋	跻	jai¹			
齏	齑	jai¹			
劑	剂	jai¹			
擠	挤	jai¹			
滯	滞	jai⁶			
側	侧	jak¹			
則	则	jak¹			
昃	昃	jak¹			
仄	仄	jak¹			
枕	枕	jam²	枕頭，枕木，同床共枕	（名詞）躺著的時候墊在頭下的東西	
怎	怎	jam²			
浸	浸	jam³			
枕	枕	jam³	枕戈待旦	（動詞）把頭放在枕頭上，用枕頭墊頭	
針	针	jam¹			
箴	箴	jam¹			
砧	砧	jam¹			
斟	斟	jam¹			
鴆	鸩	jam⁶			
朕	朕	jam⁶			
僧	僧	jang¹			
憎	憎	jang¹			
曾	曾	jang¹		（姓）	
箏	筝	jang¹			
增	增	jang¹			
崢	峥	jang¹			
錚	铮	jang¹			
掙	挣	jang¹	掙扎	用力支撐或儘力擺脫	
睜	睁	jang¹			
爭	争	jang¹			
猙	狰	jang¹			
琤	琤	jang¹			
贈	赠	jang⁶			
甑	甑	jang⁶			
軫	轸	jan²/chan²			
振	振	jan³			
賑	赈	jan³			
鎮	镇	jan³			
震	震	jan³			
圳	圳	jan³			
胗	胗	jan¹			
珍	珍	jan¹			
真	真	jan¹			眞
陣	阵	jan⁶			
汁	汁	jap¹			
執	执	jap¹			
質	质	jat¹	質量，質的，性質，物質，品質，優質，實質，變質，質疑，質問	事物的根本、特性、本性等；詢問，詰問，責問	
姪	侄	jat⁶			
窒	窒	jat⁶			
桎	桎	jat⁶			
疾	疾	jat⁶			
蟄	蛰	jat⁶			
嫉	嫉	jat⁶			
蛭	蛭	jat⁶			
蒺	蒺	jat⁶			
酒	酒	jau²			
肘	肘	jau²			
帚	帚	jau²			
走	走	jau²			
奏	奏	jau³			
揍	揍	jau³			
晝	昼	jau³			
咒	咒	jau³			
皺	皱	jau³			
縐	绉	jau³			
舟	舟	jau¹			
周	周	jau¹	周圍，圓周		
州	州	jau¹			
揪	揪	jau¹			
週	周	jau¹	週末，週刊，週年，週遊		
洲	洲	jau¹			
謅	诌	jau¹			
鄒	邹	jau¹			
陬	陬	jau¹			
輈	辀	jau¹			
諏	诹	jau¹			
揫	揫	jau¹			
鷲	鹫	jau⁶			
冑	冑	jau⁶			
袖	袖	jau⁶			
就	就	jau⁶			
紂	纣	jau⁶			
宙	宙	jau⁶			
岫	岫	jau⁶			
驟	骤	jau⁶/jaau⁶			
咋	咋	ja²	咋辦，咋樣，咋回事	（方言）怎，怎麼	
炸	炸	ja³			
詐	诈	ja³			
乍	乍	ja³			
榨	榨	ja³			搾
柞	柞	ja³	柞水	（地名）	
蚱	蚱	ja³/jaak³			
渣	渣	ja¹			
糌	糌	ja¹			
吒	吒	ja¹	哪吒，木吒，金吒	佛教的護法神名	
咱	咱	ja¹			
楂	楂	ja¹			
齇	齇	ja¹			
查	查	ja¹		（姓）	
咋	咋	ja¹	咋呼，咋唬	（方言）吆喝，喊叫，炫耀，張揚	
喳	喳	ja¹			
挓	挓	ja¹			
