挨	挨	aːi˥	挨户，挨家，挨近	依次，顺次，靠近	
卤	滷	lou˩˧			鹵
橹	櫓	lou˩˧			
恋	戀	lyːn˧˥			
脔	臠	lyːn˧˥/lyːn˨˩			
乱	亂	lyːn˨			
鸾	鸞	lyːn˨˩			
峦	巒	lyːn˨˩			
挛	攣	lyːn˨˩			
孪	孿	lyːn˨˩			
联	聯	lyːn˨˩			
栾	欒	lyːn˨˩			
滦	灤	lyːn˨˩			
銮	鑾	lyːn˨˩			
娈	孌	lyːn˩˧			
捋	捋	lyːt˧			
埒	埒	lyːt˧			
劣	劣	lyːt˧/lyːt˨			
略	略	lœːk˨			畧
掠	掠	lœːk˨			
两	兩	lœːŋ˧˥	银两，斤两，半斤八两	（重量单位）	両
谅	諒	lœːŋ˨			
踉	踉	lœːŋ˨			
辆	輛	lœːŋ˨			
量	量	lœːŋ˨	量词，数量，力量，质量，容量，含量，重量，气量，胆量，量力而为，量入为出，不自量力	（名词）数量；容纳或禁受的限度；估计	
亮	亮	lœːŋ˨			
梁	梁	lœːŋ˨˩			樑
凉	涼	lœːŋ˨˩			
量	量	lœːŋ˨˩	量杯，量地，考量，商量，测量，估量，衡量，端量，思量，量血压，量温度	（动词）估计，考虑；用器具确定物体的性质	
粮	糧	lœːŋ˨˩			
粱	粱	lœːŋ˨˩			
良	良	lœːŋ˨˩			
莨	莨	lœːŋ˨˩	莨绸，薯莨	指薯莨	
魉	魎	lœːŋ˩˧			
俩	倆	lœːŋ˩˧			
两	兩	lœːŋ˩˧	两边，两手，两极，两栖	（数目字）	
励	勵	lɐi˨			
丽	麗	lɐi˨			
蛎	蠣	lɐi˨			
厉	厲	lɐi˨			
例	例	lɐi˨			
砺	礪	lɐi˨			
荔	荔	lɐi˨			
俪	儷	lɐi˨			
疠	癘	lɐi˨			
藜	藜	lɐi˨˩			
犂	犂	lɐi˨˩			
黎	黎	lɐi˨˩			
犁	犁	lɐi˨˩			
黧	黧	lɐi˨˩			
蠡	蠡	lɐi˨˩/lɐi˩˧			
礼	禮	lɐi˩˧			
鳢	鱧	lɐi˩˧			
醴	醴	lɐi˩˧			
澧	澧	lɐi˩˧			
勒	勒	lɐk˨/laːk˨			
肋	肋	lɐk˨/laːk˨			
鳓	鰳	lɐk˨/laːk˨			
林	林	lɐm˨˩			
啉	啉	lɐm˨˩			
淋	淋	lɐm˨˩			
琳	琳	lɐm˨˩			
霖	霖	lɐm˨˩			
临	臨	lɐm˨˩			
凛	凜	lɐm˩˧			
懔	懍	lɐm˩˧			
笠	笠	lɐp˥			
甩	甩	lɐt˥			
喽	嘍	lɐu˥			
搂	摟	lɐu˧˥			
蹓	蹓	lɐu˨			
陋	陋	lɐu˨			
漏	漏	lɐu˨			
溜	溜	lɐu˨	溜冰，溜达，溜走，溜圆，溜光，溜槽，溜狗，滑溜，水溜，大溜，檐溜，溜滑梯，溜冰场，溜旱冰，光溜溜，圆溜溜，酸溜溜，乌溜溜，顺口溜，一溜烟，随大溜，溜须拍马	滑行，平滑，无阻碍；急流，房檐滴下的水；（量词）条，排	
馏	餾	lɐu˨			
遛	遛	lɐu˨			
镂	鏤	lɐu˨			
浏	瀏	lɐu˨˩			
榴	榴	lɐu˨˩			
娄	婁	lɐu˨˩			
流	流	lɐu˨˩			
琉	琉	lɐu˨˩			
刘	劉	lɐu˨˩			
螻	螻	lɐu˨˩			
楼	樓	lɐu˨˩			
硫	硫	lɐu˨˩			
偻	僂	lɐu˨˩			
髅	髏	lɐu˨˩			
瘤	瘤	lɐu˨˩			
留	留	lɐu˨˩			
骝	騮	lɐu˨˩			
鎏	鎏	lɐu˨˩			
篓	簍	lɐu˩˧			
柳	柳	lɐu˩˧			
绺	綹	lɐu˩˧			
睐	睞	lɔːi˨			
赉	賚	lɔːi˨			
耒	耒	lɔːi˨/lɵy˨			
莱	萊	lɔːi˨˩			
来	來	lɔːi˨˩			
徕	徠	lɔːi˨˩			
涞	淶	lɔːi˨˩			
崃	崍	lɔːi˨˩			
络	絡	lɔːk˧			
烙	烙	lɔːk˧			
铬	鉻	lɔːk˧			
饹	餎	lɔːk˧			
珞	珞	lɔːk˧			
酪	酪	lɔːk˧			
硌	硌	lɔːk˧		（名词）山上的大石	
洛	洛	lɔːk˧/lɔːk˨			
骆	駱	lɔːk˧/lɔːk˨			
乐	樂	lɔːk˨	乐趣，乐意，快乐，取乐	欢喜，快活	
落	落	lɔːk˨	落下，坠落		
咯	咯	lɔːk˨	吡咯	一种有机化合物	
啷	啷	lɔːŋ˥			
郎	郎	lɔːŋ˧˥	令郎，大郎	（旧）称别人的儿子	
晾	晾	lɔːŋ˨			
浪	浪	lɔːŋ˨			
蒗	蒗	lɔːŋ˨			
阆	閬	lɔːŋ˨	阆中，阆苑	（地名）	
狼	狼	lɔːŋ˨˩			
琅	瑯	lɔːŋ˨˩			
郎	郎	lɔːŋ˨˩	郎君，郎中，新郎，情郎，牛郎，女郎，郎才女貌	称年轻男子	
廊	廊	lɔːŋ˨˩			
螂	螂	lɔːŋ˨˩			
锒	鋃	lɔːŋ˨˩			
榔	榔	lɔːŋ˨˩			
莨	莨	lɔːŋ˨˩	莨菪	一种多年生草本植物	
阆	閬	lɔːŋ˨˩	闶阆，阆阆	高大，空旷	
朗	朗	lɔːŋ˩˧			
囉	囉	lɔː˥			
咯	咯	lɔː˥	当然咯	（语气助词）	
旯	旯	lɔː˥/lɔːk˧			
裸	裸	lɔː˧˥			
猡	玀	lɔː˨˩			
逻	邏	lɔː˨˩			
罗	羅	lɔː˨˩			
锣	鑼	lɔː˨˩			
箩	籮	lɔː˨˩			
萝	蘿	lɔː˨˩			
螺	螺	lɔː˨˩/lɔː˧˥			
靓	靚	lɛːŋ˧	靓仔，靓女	（方言）漂亮，好看	
咧	咧	lɛː˥		（助词）了，啦	
哩	哩	lɛː˥		（助词）呢	
咧	咧	lɛː˧˥	咧嘴，咧着嘴笑	嘴巴斜着张开	
雳	靂	lɪk˥			
砾	礫	lɪk˥			
枥	櫪	lɪk˥			
栎	櫟	lɪk˥	栎树	一种落叶乔木	
沥	瀝	lɪk˥/lɪk˨			
力	力	lɪk˨			
历	歷	lɪk˨			
历	曆	lɪk˨			
郦	酈	lɪk˨			
令	令	lɪŋ˨	命令，口令	使，使得；上级的指示；季节	
另	另	lɪŋ˨			
愣	愣	lɪŋ˨			楞
绫	綾	lɪŋ˨˩			
棱	稜	lɪŋ˨˩			
羚	羚	lɪŋ˨˩			
苓	苓	lɪŋ˨˩			
呤	呤	lɪŋ˨˩			
櫺	櫺	lɪŋ˨˩			
翎	翎	lɪŋ˨˩			
菱	菱	lɪŋ˨˩			
零	零	lɪŋ˨˩			
铃	鈴	lɪŋ˨˩			
灵	靈	lɪŋ˨˩			
鲮	鯪	lɪŋ˨˩			
玲	玲	lɪŋ˨˩			
囹	囹	lɪŋ˨˩			
凌	凌	lɪŋ˨˩			
龄	齡	lɪŋ˨˩			
聆	聆	lɪŋ˨˩			
陵	陵	lɪŋ˨˩			
令	令	lɪŋ˨˩	令狐	（复姓）	
伶	伶	lɪŋ˨˩			
蛉	蛉	lɪŋ˨˩			
崚	崚	lɪŋ˨˩			
领	領	lɪŋ˩˧/lɛːŋ˩˧			
岭	嶺	lɪŋ˩˧/lɛːŋ˩˧			
卵	卵	lɵn˧˥			
论	論	lɵn˨	论文，论点，讨论，理论，言论，谈论，评论，相对论，一概而论，无论如何，相提并论		
吝	吝	lɵn˨			
躏	躪	lɵn˨			
蔺	藺	lɵn˨			
麟	麟	lɵn˨˩			
遴	遴	lɵn˨˩			
磷	磷	lɵn˨˩			
论	論	lɵn˨˩	论语，论孟	《论语》的简称	
粼	粼	lɵn˨˩			
嶙	嶙	lɵn˨˩			
鳞	鱗	lɵn˨˩			
伦	倫	lɵn˨˩			
仑	崙	lɵn˨˩			
抡	掄	lɵn˨˩			
璘	璘	lɵn˨˩			
沦	淪	lɵn˨˩			
仑	侖	lɵn˨˩			
囵	圇	lɵn˨˩			
轮	輪	lɵn˨˩			
邻	鄰	lɵn˨˩			
纶	綸	lɵn˨˩	涤纶，腈纶，垂纶	人工合成纤维	
鹬	鷸	lɵt˨		（俗）	
栗	慄	lɵt˨			
傈	傈	lɵt˨			
律	律	lɵt˨			
率	率	lɵt˨	比率，利率，效率，频率，功率，税率，速率，圆周率，百分率	一定的标准、准则或比例	
栗	栗	lɵt˨			
篥	篥	lɵt˨			
溧	溧	lɵt˨			
滤	濾	lɵy˨			
类	類	lɵy˨			
泪	淚	lɵy˨			
虑	慮	lɵy˨			
累	累	lɵy˨	累人，累及，累赘，劳累，受累，连累，牵累，拖累	疲劳，疲惫，疲乏；牵连，牵扯；麻烦，多余	
漯	漯	lɵy˨	漯河	（地名）	
戾	戾	lɵy˨			
镭	鐳	lɵy˨˩			
驴	驢	lɵy˨˩			
闾	閭	lɵy˨˩			
擂	擂	lɵy˨˩			
嫘	嫘	lɵy˨˩			
榈	櫚	lɵy˨˩			
雷	雷	lɵy˨˩			
缧	縲	lɵy˨˩			
累	纍	lɵy˨˩			
羸	羸	lɵy˨˩			
骡	騾	lɵy˨˩/lɔː˨˩			
褛	褸	lɵy˩˧			
铝	鋁	lɵy˩˧			
缕	縷	lɵy˩˧			
磊	磊	lɵy˩˧			
膂	膂	lɵy˩˧			
侣	侶	lɵy˩˧			
旅	旅	lɵy˩˧			
垒	壘	lɵy˩˧			
吕	呂	lɵy˩˧			
屡	屢	lɵy˩˧			
累	累	lɵy˩˧	累积，累累，累次，累进，累犯，累年，危如累卵，成千累万，长年累月，日积月累，罪行累累	屡次，多次，接连；重叠，堆积，聚集	纍
里	裡	lɵy˩˧			裏
儡	儡	lɵy˩˧			
蕾	蕾	lɵy˩˧/lɵy˨˩			
麓	麓	lʊk˥			
辘	轆	lʊk˥			
碌	碌	lʊk˥	碌碌，忙碌，庸碌，劳碌，一骨碌	繁忙，繁杂；平凡，没有才能	
禄	祿	lʊk˨			
戮	戮	lʊk˨			
氯	氯	lʊk˨			
六	六	lʊk˨			
录	錄	lʊk˨			
碌	碌	lʊk˨	碌碡	一种石制的农具	
陆	陸	lʊk˨			
绿	綠	lʊk˨			
鹿	鹿	lʊk˨			
漉	漉	lʊk˨			
琭	琭	lʊk˨			
蓼	蓼	lʊk˨		形容植物长大的样子	
弄	弄	lʊŋ˨			
隆	隆	lʊŋ˨˩			
龙	龍	lʊŋ˨˩			
窿	窿	lʊŋ˨˩			
笼	籠	lʊŋ˨˩	笼子，鸟笼，蒸笼，灯笼	（名词）指笼子	
咙	嚨	lʊŋ˨˩			
聋	聾	lʊŋ˨˩			
眬	矓	lʊŋ˨˩			
胧	朧	lʊŋ˨˩			
珑	瓏	lʊŋ˨˩			
昽	曨	lʊŋ˨˩			
茏	蘢	lʊŋ˨˩			
砻	礱	lʊŋ˨˩			
笼	籠	lʊŋ˩˧	笼罩，笼统，笼络	（动词）指遮住，像笼子一样罩住	
拢	攏	lʊŋ˩˧			
垄	壟	lʊŋ˩˧			
陇	隴	lʊŋ˩˧			
卖	賣	maːi˨			
迈	邁	maːi˨			
埋	埋	maːi˨˩			
霾	霾	maːi˨˩/mɐi˨˩			
荬	蕒	maːi˩˧			
买	買	maːi˩˧			
擘	擘	maːk˧			
幔	幔	maːn˨			
万	萬	maːn˨			
曼	曼	maːn˨			
漫	漫	maːn˨			
慢	慢	maːn˨			
谩	謾	maːn˨	谩骂	轻慢，不礼貌，不尊重	
嫚	嫚	maːn˨			
镘	鏝	maːn˨			
蔓	蔓	maːn˨	蔓延，蔓草，蔓生，藤蔓，瓜蔓，顺蔓摸瓜	植物细长能缠绕但不能直立的茎；滋生，扩展	
墁	墁	maːn˨			
缦	縵	maːn˨			
熳	熳	maːn˨			
馒	饅	maːn˨˩			
蛮	蠻	maːn˨˩			
鳗	鰻	maːn˨˩			
谩	謾	maːn˨˩	欺谩	欺骗，蒙骗，蒙蔽	
蔓	蔓	maːn˨˩	蔓菁	芜菁，一种草本植物	
晚	晚	maːn˩˧			
猫	貓	maːu˥			
袤	袤	maːu˨			
懋	懋	maːu˨			
貌	貌	maːu˨			
矛	矛	maːu˨˩			
茅	茅	maːu˨˩			
卯	卯	maːu˩˧			
铆	鉚	maːu˩˧			
昴	昴	maːu˩˧			
绷	繃	maːŋ˥	绷脸，绷劲，绷着脸，绷不住	板着，强忍住	綳
孟	孟	maːŋ˨			
盲	盲	maːŋ˨˩			
锰	錳	maːŋ˩˧			
蜢	蜢	maːŋ˩˧			
猛	猛	maːŋ˩˧			
勐	勐	maːŋ˩˧			
妈	媽	maː˥			
嬷	嬤	maː˥			
吗	嗎	maː˥	干吗，有吗，要吗，吗玩意儿，要吗有吗	（方言）什么	
嘛	嘛	maː˥	干嘛，有嘛，要嘛，嘛玩意儿，要嘛有嘛	（方言）什么	
吗	嗎	maː˥/maː˧	好吗，行吗，可以吗	（疑问助词）	
吗	嗎	maː˥/maː˩˧	吗啡	一种镇痛药	
嘛	嘛	maː˧	有意见就提嘛	（助词）表示提醒、劝阻、显而易见、道理明显等语气	
骂	罵	maː˨			
麻	麻	maː˨˩			蔴
蟆	蟆	maː˨˩			
嘛	嘛	maː˨˩	喇嘛	（藏语）对僧人、法师等的尊称	
麻	痲	maː˨˩			
犸	獁	maː˩˧			
马	馬	maː˩˧			
码	碼	maː˩˧			
玛	瑪	maː˩˧			
蚂	螞	maː˩˧			
魅	魅	mei˨			
媚	媚	mei˨			
寐	寐	mei˨			
味	味	mei˨			
未	未	mei˨			
微	微	mei˨˩			
楣	楣	mei˨˩			
嵋	嵋	mei˨˩			
靡	靡	mei˨˩			
蘼	蘼	mei˨˩			
眉	眉	mei˨˩			
麋	麋	mei˨˩			
薇	薇	mei˨˩			
湄	湄	mei˨˩			
糜	糜	mei˨˩			
縻	縻	mei˨˩			
弥	瀰	mei˨˩/nei˨˩			
猕	獼	mei˨˩/nei˨˩			
尾	尾	mei˩˧			
镁	鎂	mei˩˧			
美	美	mei˩˧			
娓	娓	mei˩˧			
媺	媺	mei˩˧			
面	面	miːn˨			
面	麵	miːn˨			麪
眠	眠	miːn˨˩			
棉	棉	miːn˨˩			
绵	綿	miːn˨˩			
缅	緬	miːn˩˧			
腼	靦	miːn˩˧			
免	免	miːn˩˧			
娩	娩	miːn˩˧			
冕	冕	miːn˩˧			
勉	勉	miːn˩˧			
眄	眄	miːn˩˧			
蔑	蔑	miːt˨			
篾	篾	miːt˨			
灭	滅	miːt˨			
蔑	衊	miːt˨			
蠛	蠛	miːt˨			
喵	喵	miːu˥			
庙	廟	miːu˨			
妙	妙	miːu˨			
瞄	瞄	miːu˨˩			
苗	苗	miːu˨˩			
描	描	miːu˨˩			
杳	杳	miːu˩˧			
渺	渺	miːu˩˧			
缈	緲	miːu˩˧			
秒	秒	miːu˩˧			
邈	邈	miːu˩˧			
藐	藐	miːu˩˧			
淼	淼	miːu˩˧			
眇	眇	miːu˩˧			
暮	暮	mou˨			
瑁	瑁	mou˨			
雾	霧	mou˨			
帽	帽	mou˨			
慕	慕	mou˨			
募	募	mou˨			
冒	冒	mou˨			
骛	騖	mou˨			
耄	耄	mou˨			
务	務	mou˨			
墓	墓	mou˨			
鹜	鶩	mou˨			
戊	戊	mou˨			
婺	婺	mou˨			
模	模	mou˨˩			
髦	髦	mou˨˩			
摹	摹	mou˨˩			
谟	謨	mou˨˩			
膜	膜	mou˨˩	膜拜	跪拜	
诬	誣	mou˨˩			
毛	毛	mou˨˩			
无	無	mou˨˩	无法，无论，无疑，无辜，无聊，无奈，无限，无可奈何	没有	
芜	蕪	mou˨˩			
毋	毋	mou˨˩			
巫	巫	mou˨˩			
牦	氂	mou˨˩/lei˨˩			犛
姆	姆	mou˩˧			
侮	侮	mou˩˧			
武	武	mou˩˧			
母	母	mou˩˧			
鹉	鵡	mou˩˧			
妩	嫵	mou˩˧			
拇	拇	mou˩˧			
舞	舞	mou˩˧			
妹	妹	muːi˨			
昧	昧	muːi˨			
梅	梅	muːi˨˩			
媒	媒	muːi˨˩			
煤	煤	muːi˨˩			
玫	玫	muːi˨˩			
枚	枚	muːi˨˩			
霉	霉	muːi˨˩			黴
莓	莓	muːi˨˩			
酶	酶	muːi˨˩			
每	每	muːi˩˧			
闷	悶	muːn˨			
焖	燜	muːn˨			
门	門	muːn˨˩			
们	們	muːn˨˩			
瞒	瞞	muːn˨˩			
扪	捫	muːn˨˩			
鞔	鞔	muːn˨˩	鞔鼓，鞔鞋	用皮革做鼓，鞋等	
满	滿	muːn˩˧			
螨	蟎	muːn˩˧			
沫	沫	muːt˧			
抹	抹	muːt˧/maːt˧			
末	末	muːt˨			
没	沒	muːt˨			
茉	茉	muːt˨			
靺	靺	muːt˨			
殁	歿	muːt˨			
咪	咪	mɐi˥/mei˥			
袂	袂	mɐi˨			
谜	謎	mɐi˨˩			
醚	醚	mɐi˨˩			
眯	瞇	mɐi˨˩			
迷	迷	mɐi˨˩			
米	米	mɐi˩˧			
麦	麥	mɐk˨			
脉	脈	mɐk˨			
陌	陌	mɐk˨			
墨	墨	mɐk˨			
万	万	mɐk˨			
默	默	mɐk˨			
蓦	驀	mɐk˨			
貘	貘	mɐk˨			獏
蚊	蚊	mɐn˥			
紊	紊	mɐn˨			
汶	汶	mɐn˨			
问	問	mɐn˨			
文	文	mɐn˨˩			
民	民	mɐn˨˩			
闻	聞	mɐn˨˩			
氓	氓	mɐn˨˩	流氓	（俗）	
玟	玟	mɐn˨˩			
纹	紋	mɐn˨˩			
雯	雯	mɐn˨˩			
缗	緡	mɐn˨˩			
岷	岷	mɐn˨˩			
旻	旻	mɐn˨˩			
忞	忞	mɐn˨˩			
珉	珉	mɐn˨˩			
苠	苠	mɐn˨˩			
泯	泯	mɐn˩˧			冺
敏	敏	mɐn˩˧			
抿	抿	mɐn˩˧			
悯	憫	mɐn˩˧			
刎	刎	mɐn˩˧			
闽	閩	mɐn˩˧			
闵	閔	mɐn˩˧			
吻	吻	mɐn˩˧			
渑	澠	mɐn˩˧	渑池	（地名）	
鳘	鰵	mɐn˩˧			
黾	黽	mɐn˩˧			
愍	愍	mɐn˩˧			
湣	湣	mɐn˩˧			
嘧	嘧	mɐt˨			
密	密	mɐt˨			
勿	勿	mɐt˨			
蜜	蜜	mɐt˨			
物	物	mɐt˨			
袜	襪	mɐt˨			
谧	謐	mɐt˨			
宓	宓	mɐt˨	静宓	宁静，安静	
哞	哞	mɐu˥			
贸	貿	mɐu˨			
茂	茂	mɐu˨			
谬	謬	mɐu˨			
谋	謀	mɐu˨˩			
牟	牟	mɐu˨˩			
眸	眸	mɐu˨˩			
缪	繆	mɐu˨˩			
牡	牡	mɐu˩˧			
某	某	mɐu˩˧			
亩	畝	mɐu˩˧			
萌	萌	mɐŋ˨˩			
盟	盟	mɐŋ˨˩			
剥	剝	mɔːk˥			
漠	漠	mɔːk˨			
膜	膜	mɔːk˨	隔膜，耳膜，脑膜，网膜，黏膜	人、动物、植物等体内部的薄皮形组织	
幕	幕	mɔːk˨			
莫	莫	mɔːk˨			
寞	寞	mɔːk˨			
镆	鏌	mɔːk˨			
望	望	mɔːŋ˨			
铓	鋩	mɔːŋ˨˩			
亡	亡	mɔːŋ˨˩			
氓	氓	mɔːŋ˨˩	流氓		
忙	忙	mɔːŋ˨˩			
芒	芒	mɔːŋ˨˩			
莽	莽	mɔːŋ˨˩			
茫	茫	mɔːŋ˨˩			
忘	忘	mɔːŋ˨˩			
虻	虻	mɔːŋ˨˩			
罔	罔	mɔːŋ˩˧			
妄	妄	mɔːŋ˩˧			
惘	惘	mɔːŋ˩˧			
蟒	蟒	mɔːŋ˩˧			
网	網	mɔːŋ˩˧			
魍	魍	mɔːŋ˩˧			
辋	輞	mɔːŋ˩˧			
摩	摩	mɔː˥			
么	麼	mɔː˥			麽
魔	魔	mɔː˥			
摸	摸	mɔː˧˥			
磨	磨	mɔː˨˩	磨刀，磨损，磨灭，磨难，磨光，磨功，磨墨，磨烦，磨牙，磨破，磨粉，磨细，磨练，折磨，研磨，穷磨，磨刀石，磨洋工，磨工夫，好事多磨，消磨间，百世不磨，磨成粉末，铁杵磨成针	摩擦	
蘑	蘑	mɔː˨˩			
馍	饃	mɔː˨˩			
无	無	mɔː˨˩	南无	（梵文音译词）	
磨	磨	mɔː˨˩/mɔː˨	磨子，磨叨，磨房，磨车，磨面，石磨，电磨，推磨，磨豆腐，磨豆浆，磨麦子，磨过来，磨不过来，有钱能使鬼推磨	（名词）碾碎谷物的器具；（动词）用磨子碾平谷物	
命	命	mɛːŋ˨		（口语）	
哶	哶	mɛː˥			
觅	覓	mɪk˨			
幂	冪	mɪk˨			
汨	汨	mɪk˨			
鼏	鼏	mɪk˨		鼎的盖子	
命	命	mɪŋ˨	命运，生命		
名	名	mɪŋ˨˩			
明	明	mɪŋ˨˩			
冥	冥	mɪŋ˨˩			
鸣	鳴	mɪŋ˨˩			
洺	洺	mɪŋ˨˩			
溟	溟	mɪŋ˨˩			
螟	螟	mɪŋ˨˩			
暝	暝	mɪŋ˨˩/mɪŋ˨			
瞑	瞑	mɪŋ˨˩/mɪŋ˩˧			
铭	銘	mɪŋ˨˩/mɪŋ˩˧			
皿	皿	mɪŋ˩˧			
酩	酩	mɪŋ˩˧			
茗	茗	mɪŋ˩˧/mɪŋ˨˩			
钼	鉬	mʊk˨			
木	木	mʊk˨			
牧	牧	mʊk˨			
睦	睦	mʊk˨			
沐	沐	mʊk˨			
苜	苜	mʊk˨			
目	目	mʊk˨			
仫	仫	mʊk˨			
穆	穆	mʊk˨			
梦	夢	mʊŋ˨			
曚	曚	mʊŋ˨˩			
蒙	矇	mʊŋ˨˩			
朦	朦	mʊŋ˨˩			
蒙	蒙	mʊŋ˨˩			
蒙	濛	mʊŋ˨˩			
檬	檬	mʊŋ˨˩			
獴	獴	mʊŋ˨˩			
蠓	蠓	mʊŋ˩˧			
懵	懵	mʊŋ˩˧/mʊŋ˧˥			
氖	氖	naːi˩˧			
乃	乃	naːi˩˧			迺
鼐	鼐	naːi˩˧		大鼎	
奶	奶	naːi˩˧			
南	南	naːm˨˩	南方，南边，南面，南风，指南针	（方向）	
囡	囡	naːm˨˩			
喃	喃	naːm˨˩			
楠	楠	naːm˨˩			
男	男	naːm˨˩			
腩	腩	naːm˩˧			
难	難	naːn˨	难民，灾难	（名词）	
难	難	naːn˨˩	难道，难题，艰难，困难	（形容词）	
赧	赧	naːn˩˧			
钠	鈉	naːp˨			
呐	吶	naːp˨			
纳	納	naːp˨			
衲	衲	naːp˨			
捺	捺	naːt˨			
孬	孬	naːu˥			
闹	鬧	naːu˨			
淖	淖	naːu˨			
桡	橈	naːu˨˩			
铙	鐃	naːu˨˩			
锚	錨	naːu˨˩			
挠	撓	naːu˨˩			
猱	猱	naːu˨˩	猱犬，蠼猱		
哪	哪	naː˥	天哪	（语气词）表示惊讶或停顿	
哪	哪	naː˨˩	哪吒	（梵文音译词）	
娜	娜	naː˨˩	丽娜，安娜	（人名用字）	
拿	拿	naː˨˩			
南	南	naː˨˩	南无	（梵文音译词）	
那	那	naː˩˧	那里，那个，那年，那时，那样，那么，那地方，那棵树，那时候，那些人，那座楼，那会儿	（指定代名词）	
哪	哪	naː˩˧	哪里，哪儿，哪个，哪呢	（疑问词）	
饵	餌	nei˨			
腻	膩	nei˨			
泥	泥	nei˨	泥古，泥墙，泥壁，拘泥，泥古不化	固执，拘束，死板，停留不前；涂抹，涂饰，用土、灰等涂抹墙壁或器物	
妮	妮	nei˨˩			
怩	怩	nei˨˩			
弥	彌	nei˨˩			
铌	鈮	nei˨˩			
尼	尼	nei˨˩			
旎	旎	nei˩˧			
您	您	nei˩˧			
你	妳	nei˩˧			
你	你	nei˩˧			
拈	拈	niːm˥			
黏	黏	niːm˥	黏度，黏土，黏液，黏糊，黏稠，黏性，黏膜，黏着，黏附，黏接，黏住，黏合，黏结，发黏，很黏，黏着力	（形容词）像胶水一样有附着力	粘
粘	粘	niːm˥/tsiːm˥	粘连，粘牙，粘在一起，粘在手上	（不及物动词）附着，胶着，缠着；有黏性的东西互相连结	黏
捻	捻	niːm˧˥			
念	念	niːm˨			
念	唸	niːm˨			
廿	廿	niːm˨			
鲇	鯰	niːm˨˩			鮎
粘	粘	niːm˨˩	粘贴，粘封信，粘海报，粘标语，粘邮票	（及物动词）贴合，贴附；用胶水、浆糊等有黏性的东西使物件连结起来，使不分开；（姓）	黏
年	年	niːn˨˩			
碾	碾	niːn˩˧	碾米，碾碎		
镍	鎳	niːp˥			
聂	聶	niːp˨			
颞	顳	niːp˨			
捏	捏	niːp˨			
镊	鑷	niːp˨			
涅	涅	niːp˨			
蹑	躡	niːp˨			
陧	隉	niːp˨			
尿	尿	niːu˨			
溺	溺	niːu˨	便溺	尿，小便	
袅	裊	niːu˩˧			
鸟	鳥	niːu˩˧			
怒	怒	nou˨			
奴	奴	nou˨˩			
驽	駑	nou˨˩			
瑙	瑙	nou˩˧			
弩	弩	nou˩˧			
恼	惱	nou˩˧			
脑	腦	nou˩˧			
努	努	nou˩˧/lou˩˧			
嫩	嫩	nyːn˨			
暖	暖	nyːn˩˧			
娘	娘	nœːŋ˨˩			孃
泥	泥	nɐi˨˩	泥土，泥巴，泥坑，泥濘，稀泥，水泥，污泥，爛泥，印泥，蒜泥，棗泥，肉泥，淤泥，土豆泥，泥牛入海，拖泥帶水	水和土合成的半固体；像泥的东西	
坭	坭	nɐi˨˩			
呢	呢	nɐi˨˩/nei˨˩	呢子，呢料，呢绒，毛呢，厚呢，呢喃	一种毛织品	
稔	稔	nɐm˩˧			
粒	粒	nɐp˥/lɐp˥			
纽	紐	nɐu˧˥			
朽	朽	nɐu˧˥			
钮	鈕	nɐu˧˥			
扭	扭	nɐu˧˥			
妞	妞	nɐu˧˥			
狃	狃	nɐu˧˥			
能	能	nɐŋ˨˩			
奈	奈	nɔːi˨			
耐	耐	nɔːi˨			
内	內	nɔːi˨			
诺	諾	nɔːk˨			
齉	齉	nɔːŋ˨			
囊	囊	nɔːŋ˨˩			
囔	囔	nɔːŋ˨˩			
馕	饢	nɔːŋ˨˩		一种烤制的面饼	
瓤	瓤	nɔːŋ˨˩			
馕	饢	nɔːŋ˩˧	馕嗓，馕糠，馕糟	拼命往嘴里塞食物	
那	那	nɔː˥		（姓）	
糯	糯	nɔː˨			
懦	懦	nɔː˨			
挪	挪	nɔː˨˩			
挼	挼	nɔː˨˩			
娜	娜	nɔː˩˧	婀娜，袅娜，婀娜多姿	柔软细长，轻盈柔美的样子	
呢	呢	nɛː˥	哪儿呢，怎么办呢	（助词）表示疑问、确定、停顿、动作正在继续等	
昵	暱	nɪk˥			
匿	匿	nɪk˥			
溺	溺	nɪk˥/nɪk˨	溺水，溺死	淹没，沉迷，过分	
佞	佞	nɪŋ˨			
拧	擰	nɪŋ˨			
泞	濘	nɪŋ˨			
宁	寧	nɪŋ˨	宁可，宁愿，宁死不屈，宁缺毋滥	情愿	
宁	寧	nɪŋ˨			甯
宁	寧	nɪŋ˨˩	宁静，安宁，息事宁人，坐卧不宁	安静，平静，安定	
狞	獰	nɪŋ˨˩			
咛	嚀	nɪŋ˨˩			
柠	檸	nɪŋ˨˩			
讷	訥	nɵt˨/naːp˨			
钕	釹	nɵy˩˧			
馁	餒	nɵy˩˧			
女	女	nɵy˩˧/lɵy˩˧			
衄	衄	nʊk˨			衂
忸	忸	nʊk˨/nɐu˧˥			
农	農	nʊŋ˨˩			
浓	濃	nʊŋ˨˩			
侬	儂	nʊŋ˨˩			
脓	膿	nʊŋ˨˩			
哝	噥	nʊŋ˨˩			
媪	媼	ou˧˥			
掰	掰	paːi˥/maːk˧			
拜	拜	paːi˧			
摆	擺	paːi˧˥			
摆	襬	paːi˧˥			
捭	捭	paːi˧˥			
败	敗	paːi˨			
